"Nombre ","Direccion","CP","Localidad","Provincia","Apellidos persona contacto","Nombre persona contacto","Telefono","Movil","Fax","email","web","sector","productos","formato y envase","Stand"
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",9,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",10,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",11,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",12,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",13,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",14,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",15,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",16,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
"PESASUR, S.A.","Pol. Ind. C/ Ribera del Guadiana, Parc. 2 - 3",21400,"Ayamonte","Huelva","Fernández González","José Manuel","959 321 075 / 76","629 543 651","959 320 876","pesasur@pesasur.com","www.pesasur.com",6,"Fil.Caballa de Andalucía, Fil. Melva de Andalucía, Fil. Melva de Andalucía (Canutera), Fil. de Atún, Fil. Bonito de vientre rayado, Fil. Salmón, en aceites de oliva y aceite de girasol. Sardinas y sardinillas en aceite de oliva y girasol. Mejillones en escabeche, Pulpo en aceite de oliva, Sardinas saladas.","Estuches RR-125, RR-335, RR-550, RO-1000, RO-1800, RO-1950, RO-2450,RO-4150; Cristal FR-150, FR-200, FR-315, FR-450. Bolsas y tabales",2205
"DAABIO ECOLÓGICO","Avda. de Andalucía, 30",14550,"MONTILLA","Córdoba","Luque Pinilla","Juan Manuel",957370021,,957374077,"info@daabio.es","www.daabio.es",1,"Garbanzos, alubias, lentejas, arroz","1/2 Kg., 1 Kg., 5 Kg., 15 Kg., 25 Kg. Envase de plástico y tela.",2209
"DAABIO ECOLÓGICO","Avda. de Andalucía, 30",14550,"MONTILLA","Córdoba","Luque Pinilla","Juan Manuel",957370021,,957374077,"info@daabio.es","www.daabio.es",2,"Garbanzos, alubias, lentejas, arroz","1/2 Kg., 1 Kg., 5 Kg., 15 Kg., 25 Kg. Envase de plástico y tela.",2209
"DAABIO ECOLÓGICO","Avda. de Andalucía, 30",14550,"MONTILLA","Córdoba","Luque Pinilla","Juan Manuel",957370021,,957374077,"info@daabio.es","www.daabio.es",6,"Garbanzos, alubias, lentejas, arroz","1/2 Kg., 1 Kg., 5 Kg., 15 Kg., 25 Kg. Envase de plástico y tela.",2209
"PROLONGO","Plaza Prolongo, 1",19580,"Cártama Estación","Málaga","Alejo","Manuel","952 420 000",,"952 420 115","comercial@prolongo.es","www.prolongo.es",13,"Embutidos y jamones","Embutidos en piezas para corte y loncheados en atmósfera protectora. Jamones enteros, deshuesados y loncheados.",2034
"QUESOS DE ANDALUCÍA","Dehesa, 80",29560,"Pizarra","Málaga","Jiménez Gómez","Margarita","952 483 868","610 868 642","952 483 869","agroindustria@valledelguadalhorce.com","www.quesosdeandalucia.com",15,"Quesos artesanales de cabra y oveja.","Amplia gama de formatos y presentaciones.",
"RAÍCES SERRANAS DE JABUGO, S.L.","Juán de Ledesma, 103",41006,"Sevilla","Sevilla","Bomba Gómez","Sergio","959 122 868","609 750 070","959 122 668","ventas@sierradejabugo.com","www.sierradejabugo.com",13,"Jamones, Paletas y embutidos ibéricos, Carnes frescas ibéricas.","Piezas enteras, deshuesados, loncheados, carnes frescas y congeladas al vacío.",2081
"S.C.A.A.""SAN FRANCISCO""","Ctra.Córdoba-Valencia, s/n",23330,"Villanueva del Arzobispo","Jaén","González","Mª Francisca",,"606 272 731","953 451 931","m.fca.gonzalez@telefonica.net","www.sierralasvillas.com",1,"Aceite de Oliva Virgen Extra ""Sierra de las Villas"". Aceite de Oliva Virgen Extra Calidad Certificada ""Oro de las Villas""","Producimos Aceite de Oliva Virgen Extra en varios formatos. En envases de plástico (PET), vidrio y latas.",2055
"SIERRA DE JABUGO, S.L.","Juan de Ledesma, 103",41006,"Sevilla","Sevilla","Bomba Gómez","Sergio","959 122 868","609 750 070","959 122 668","ventas@sierradejabugo.com","www.sierradejabugo.com",13,"Jamones, Paletas y embutidos ibéricos, Carnes frescas ibéricas.","Piezas enteras, deshuesados, loncheados, carnes frescas y congeladas al vacio.",2080
"SIERRA DE SEVILLA","Avda. García Morato, 9 Edf. Gilaresa, 9",41011,"Sevilla","Sevilla","Mulliez","Laureline","954 229 256","652 263 645","954 211 176","laureline@sierradesevilla.com","www.sierradesevilla.com",13,"Jamón ibérico de bellota, Paleta ibérica de bellota, Caña de lomo ibérica de bellota, Chorizo ibérico de bellota, Salchichón ibérico de bellota, Lomito ibérico de bellota.","Jamón y paleta (entero, deshuesado y loncheado). Lomito (entero). Caña de lomo, chorizo y salchichón (enteros y medias piezas)","2206-2207"
"SKANDIA","Ernest Hemingway, s/n",29004,"Málaga","Málaga","Jensen","Lillan","952 238 040","639 130 824","952 233 359","lillan@vensy.es","www.vensy.es",12,"Salmón ahumado, Palometa ahumada, Trucha ahumada, Bacalao ahumado, Atún ahumado, Pez espada ahumado, Arenques ahumado, Huevas de caviar, Salmón fresco marinado.","100 gr. a 1600 gr.; Bolsas film cerrado al vacío; Barquetas",2038
"SOHISCERT, S.A.","Finca La Cañada, Ctra. Sevilla - Utrera Km. 20,8",47710,"Utrera","Sevilla","Caballero Luna","Ildefonso","955 868 051","650 977 595","955 868 137","sohiscert@sohiscert.com","www.sohiscert.com",8,"Certificación agroalimentaria: Productos ecológicos, GlobalGap, Vinos de la tierra, Aves de corral, Huevos, Pliegos privados",,2028
"SOHISCERT, S.A.","Finca La Cañada, Ctra. Sevilla - Utrera Km. 20,8",47710,"Utrera","Sevilla","Caballero Luna","Ildefonso","955 868 051","650 977 595","955 868 137","sohiscert@sohiscert.com","www.sohiscert.com",9,"Certificación agroalimentaria: Productos ecológicos, GlobalGap, Vinos de la tierra, Aves de corral, Huevos, Pliegos privados",,2028
"TUNAMAR","Rec. Int. Zona Franca, Muelle Ribera, s/n",11011,"Cádiz","Cádiz","Luna","Antonio","956 200 971","676 877 902","956 200 972","antonio@tunamar.eu","www.tunamar.eu",3,"Atún, Marrajo, Pez espada, Bonito del norte","Lomos en atmósfera protectora; Rodajas en bandejas con atmósfera protectora; Piezas congeladas; Latas y botes de cristal de conserva: botes ventresca, botes atún, latas ventresca, latas migas atún. Botes: 250 gr., 350 gr. Latas: 1 kg.",2079
"TUNAMAR","Rec. Int. Zona Franca, Muelle Ribera, s/n",11011,"Cádiz","Cádiz","Luna","Antonio","956 200 971","676 877 902","956 200 972","antonio@tunamar.eu","www.tunamar.eu",6,"Atún, Marrajo, Pez espada, Bonito del norte","Lomos en atmósfera protectora; Rodajas en bandejas con atmósfera protectora; Piezas congeladas; Latas y botes de cristal de conserva: botes ventresca, botes atún, latas ventresca, latas migas atún. Botes: 250 gr., 350 gr. Latas: 1 kg.",2079
"TUNAMAR","Rec. Int. Zona Franca, Muelle Ribera, s/n",11011,"Cádiz","Cádiz","Luna","Antonio","956 200 971","676 877 902","956 200 972","antonio@tunamar.eu","www.tunamar.eu",12,"Atún, Marrajo, Pez espada, Bonito del norte","Lomos en atmósfera protectora; Rodajas en bandejas con atmósfera protectora; Piezas congeladas; Latas y botes de cristal de conserva: botes ventresca, botes atún, latas ventresca, latas migas atún. Botes: 250 gr., 350 gr. Latas: 1 kg.",2079
"UBAGO GROUP MARE, S.L.","Charles Darwin, 3 P.T.A. (Parque Tec. de Andalucía)",29590,"Campanillas","Málaga","Blanco","Antonio","951 010 470",,"951 010 471","ablanco@ubagogroup.com","www.ubago.com",6,"Conservas de pescado principalmente caballa, melva, langostillos, gula y otros mariscos. Por otro lado comercialización de pescados ahumados.","Todos los formatos en conservas RR-90, RR-125, RO-280, RO-550, RO-1000 y R0-1800. Todo ello para melva, caballa, langostillo, gula, mariscos de chile y otras especialidades. En pescados ahumados gran variedad de surtidos y formatos. Salmón, bacalao, palometa, huevas,..",2054
"UBAGO GROUP MARE, S.L.","Charles Darwin, 3 P.T.A. (Parque Tec. de Andalucía)",29590,"Campanillas","Málaga","Blanco","Antonio","951 010 470",,"951 010 471","ablanco@ubagogroup.com","www.ubago.com",12,"Conservas de pescado principalmente caballa, melva, langostillos, gula y otros mariscos. Por otro lado comercialización de pescados ahumados.","Todos los formatos en conservas RR-90, RR-125, RO-280, RO-550, RO-1000 y R0-1800. Todo ello para melva, caballa, langostillo, gula, mariscos de chile y otras especialidades. En pescados ahumados gran variedad de surtidos y formatos. Salmón, bacalao, palometa, huevas,..",2054
"VINÍCOLA DEL CONDADO","San José, 2",21710,"Bollullos par del Condado","Huelva","Vázquez","Andrés","959 410 261",,"959 410 171","direccion@vinicoladelcondado.com","www.privilegiodelcondado.com",16,"Vinos blancos y tintos del Condado de Huelva; Vinagres del Condado de Huelva; Vinos blancos y tintos de mesa.","Botellas de 3/8 l., 1,2 l., 3/4 l. y 1l.; Bag in box de 2l., 3l., 5l. y 15 l.",2033
"AGRO SEVILLA","Av. Innovación, E. Rentasevilla 8",41020,"Sevilla","Sevilla","González O'Sullivan","Finbarr",954251400,,954251071,"grupo@agrosevilla.com","www.agrosevilla.com",1,,,2256
"AGRO SEVILLA","Av. Innovación, E. Rentasevilla 8",41020,"Sevilla","Sevilla","González O'Sullivan","Finbarr",954251400,,954251071,"grupo@agrosevilla.com","www.agrosevilla.com",2,,,2256
"C.R.D.O. MONTILLA-MORILES","Rita Pérez s/n",14550,"Montilla","Córdoba"," Garrido Giménez","Enrique",957699959,,957699963,"consejo.montillamoriles@juntadeandalucia","www.montilla-moriles.org",16,,,"2058-2059; 2062-2063"
